class,name,profile description,dog description
musician,Erik Satie,"Éric Alfred Leslie Satie (17 May 1866 – 1 July 1925), who signed his name Erik Satie after 1884, was a French composer and pianist. Satie was an influential artist in the late 19th- and early 20th-century Parisian avant-garde. His work was a precursor to later artistic movements such as minimalism, repetitive music, and the Theatre of the Absurd, while his 1917 coinage ""furniture music"" would presage the development of background and ambient music. Erik Satie was born on 17 May 1866, the son of Alfred Satie and his wife Jane Leslie (née Anton), who was born in London to Scottish parents. Erik was born at Honfleur in Normandy; his childhood home there is now open to the public. When Satie was four years old, his family moved to Paris, his father having been offered a translator's job in the capital. After his mother's death in 1872, he was sent (at age 6), together with his younger brother, Conrad, back to Honfleur to live with his paternal grandparents. There he received his first music lessons from a local organist. In 1878, when he was 12 years old, his grandmother died, and the two brothers were reunited in Paris with their father, who remarried (to a piano teacher) shortly afterwards. From the early 1880s onwards, Satie started publishing salon compositions by his stepmother and himself, among others.","Halle Berry is 10 lbs of adorable canine! It takes her awhile to come out of her shell, but when she does, she loves you to pieces. She is very scared of men and cowers when approached by a man. She does NOT like children. She has not bitten a child.  Halle is crate trained and is fed in her crate. She loves to snuggle in the bed with you and sleep on the couch by you during the day. She gets along well with the other dogs and cat."
musician,Ali Farka Touré,"Ali Ibrahim ""Ali Farka"" Touré (31 October 1939 – 6 March 2006) was a Malian singer and multi-instrumentalist, and one of the African continent's most internationally renowned musicians. His music blends traditional Malian music and its derivative, North American blues and is considered a pioneer of African desert blues. Touré was born in 1939 in the village of Kanau, on the banks of the Niger River in Gourma-Rharous Cercle in the northwestern Malian region of Tombouctou. His family belonged to the Arma community and moved to the nearby village of Niafunké when he was still an infant. His father died serving in the French Army in 1940. He was the tenth son of his mother but the only one to survive past infancy. ""The name I was given was Ali Ibrahim, but it's a custom in Africa to give a child a strange nickname if you have had other children who have died"", Touré was quoted as saying in a biography on his record label, World Circuit Records. His nickname, ""Farka"", chosen by his parents, means ""donkey"", an animal admired for its tenacity and stubbornness: ""Let me make one thing clear. I'm the donkey that nobody climbs on!"" Ethnically, he was part Songhai, part Fula.","Ginger is a gentle 2 years old pitbull. She is very mellow and sweet, just looking for love. She walks very well on the leash and is crate trained. She has tons of friends and enjoys being outside with them!"
musician,Marcel Khalife,"Marcel Khalife (born June 10, 1950, Amshee) is a Lebanese musical composer, singer, and oud player. He is known for his commitment to the Palestinian cause, the Communist party and is known for his patriotic songs. His eldest son, Juilliard School graduate Rami Khalife, is a pianist and composer. In October 2011, the Qatar Philharmonic Orchestra, under the conductorship of James Gaffigan, premiered Khalife's 'Chaos', for orchestra and piano, with Khalife at the helm as a soloist. In February 2013, Rami Khalife's Arab Spring-inspired 'Requiem' was premiered, within the same program as Marcel Khalife's suite ""Oriental"".","Meet Honey, a 7 month old lab mix. She is such a sweet pup, who really just wants to be loved all the time! She will snuggle up to you and do anything to get your attention. She's not super interested in playing, unless you really try to play with her for a long time or take her outside and run around. As long as you love her, snuggle her and run around with her, she will be a happy camper. She is crate trained, but not fully potty trained yet. She still has a few puppy habits and is just starting to learn basic manners and work on leash training, but she is very eager to learn. "
musician,Rahim AlHaj,"Rahim AlHaj is an Iraqi American oud musician and composer. AlHaj was born in Baghdad, Iraq and began playing the oud (an Arabic lute) at age nine. Early on, it was evident that he had a remarkable talent for playing the oud. In 1991, after the first Gulf War, AlHaj was forced to leave Iraq due to his political activism  and began his life in Jordan and Syria. He moved to the U.S. in 2000 as a political refugee and has resided in Albuquerque, New Mexico, ever since. He became a U.S. citizen on August 16, 2008. AlHaj has performed all over the world, on tour with Munir Bashir, his teacher, as well as solo and with his string quartet project, including numerous concerts in Lebanon, Iraq, Syria, Jordan, Morocco, Tunisia, Kuwait, Bahrain, Egypt, and France and hundreds of concerts in the United States.","Meet Bandit, a sweet old man who has so much love to give. He loves holding hands both in the car and at home. He is good with other dogs except intact males. Dogs who play too rough and rowdy are a bit much for him. His age and wisdom come out and he tries to settle everyone down. He does not like baths and is particular about where you pet him sometimes. He unfortunately does not like small children and can be a bit grumpy upon meeting you. He might growl but his tail is happy to see you. He just needs a little bit of time to trust."
musician,Amjad Ali Khan,"Ustad Amjad Ali Khan Bangash (born 9 October 1945) is an Indian classical sarod player, best known for his clear and fast ekhara taans. Khan was born into a classical musical family and has performed internationally since the 1960s. He was awarded India's second highest civilian honour Padma Vibhushan in 2001. Khan first performed in the United States in 1963 and continued into the 2000s, with his sons. He has experimented with modifications to his instrument throughout his career. Khan played with the Hong Kong Philharmonic Orchestra and worked as a visiting professor at the University of New Mexico. In 2011, he performed on Carrie Newcomer's album Everything is Everywhere. In 2014, along with his two sons, Ayaan Ali Khan and Amaan Ali Khan, he performed 'Raga For Peace' in 2014 Nobel Peace Prize Concert. Born on 9 October 1945 as Masoom Ali Khan, the youngest of seven children, to Gwalior court musician Hafiz Ali Khan and Rahat Jahan. His family is part of the Bangash lineage and Khan is in the sixth generation of musicians; his family claims to have invented the sarod. His personal name was changed by a sadhu to Amjad. Khan received homeschooling and studied music under his father. In 1957, a cultural organization in Delhi appointed Hafiz Ali Khan as its guest and the family moved to Delhi.","Nicky is an absolutely adorable sweetheart. He LOVES everyone and kids especially! He still acts as a playful puppy at roughly 10 months old, 7 lbs and we believe he is a chihuahua/terrier mix (but as with any rescue, it's always a best guess). His favorite pasttime is eating and his second would have to be squeaky toys! "
musician,Nusrat Fateh Ali Khan,"Nusrat Fateh Ali Khan (13 October 1948 – 16 August 1997), was a Pakistani vocalist, musician, composer and music director primarily a singer of qawwali, a form of Sufi devotional music. He is considered to be the greatest Sufi singer in the Punjabi and Urdu language, and World's greatest qawwali singer ever; he is often referred to as ""Shahenshah-e-Qawwali"" (the King of Kings of Qawwali). He was described as the 4th greatest singer of all time by LA Weekly in 2016. He was known for his vocal abilities and could perform at a high level of intensity for several hours. He belonged to the Qawwal Bacchon Gharana (Delhi gharana) extending the 600-year old qawwali tradition of his family, Khan is widely credited with introducing qawwali music to international audiences. Born in Lyallpur (Faisalabad), Khan had his first public performance at the age of 15, at his father's chelum. He became the head of the family qawwali party in 1971. He was signed by Oriental Star Agencies, Birmingham, England, in the early 1980s. Khan went on to release movie scores and albums in Europe, India, Japan, Pakistan and the U.S. He engaged in collaborations and experiments with Western artists, becoming a well-known world music artist. He toured extensively, performing in over 40 countries. In addition to popularising qawwali music, he also had a big impact on contemporary South Asian popular music, including Pakistani pop, Indian pop and Bollywood music.","Found as a stray. Anxious around new people or when seeing strangers. Experiences ""stranger danger."" Once comfortable with someone he knows and trusts, can be more friendly, playful, and energetic. Difficult on a walk, loses focus easily. Can be challenging to get him back to a calm state when he gets uncomfortable. Vocal, especially when stressed. Reactive to other dogs, especially when on a walk. Very intelligent, desire to learn. Food motivated and knows some basic skills."
musician,Anoushka Shankar,"Anoushka Shankar (born 9 June 1981) is a British Indian sitar player and composer. She is the daughter of Pandit Ravi Shankar and Sukanya Rajan, and the half-sister of Norah Jones. Shankar was born in London and her childhood was divided between London and Delhi. She is the daughter of Sukanya Shankar and Indian sitar maestro Ravi Shankar, who was 61 when she was born. Through her father, she is also the half-sister of American singer Norah Jones (born Geetali Norah Shankar), and Shubhendra ""Shubho"" Shankar, who died in 1992. As a teenager, Shankar lived in Encinitas, California, and attended San Dieguito High School Academy. A 1999 honors graduate and Homecoming Queen, Anoushka decided to pursue a career in music rather than attend college. Anoushka and Ravi Shankar in concert, 2005. Shankar began training on the sitar with her father Ravi Shankar at the age of seven. As part of her training, she began accompanying him on the tanpura at his performances from the age of ten, soaking up the music and becoming acclimated to the stage.","This is Jasper! He is a giant baby! He's about 2 years old. He is a sweetheart. He had been a stray in Turkey and flew to Toronto on February 23rd. He is such a sweet and loving dog. He's totally affectionate– He's a big baby. I want to say he's a gentle giant, but he's not necessarily a ""giant"" although he is pretty close. He's a little bit taller than a retriever. He is very calm and easy. He will just relax and hang out with you. He's not high strung. He sleeps through the night, doesn't destroy anything, and doesn't bark much. He's also house trained. The main thing is that you will have to put in the time to do consistent leash training. When he passes by other dogs, he gets triggered and completely acts up. He will pull, bark, growl, cry, etc. He needs a leader."
musician,Yehudi Menuhin,"Yehudi Menuhin, (22 April 1916 – 12 March 1999) was an American-born violinist and conductor who spent most of his performing career in Britain. He is widely considered one of the great violinists of the 20th century. He played the Soil Stradivarius, considered one of the finest violins made by Italian luthier Antonio Stradivari. Yehudi Menuhin was born in New York City to a family of Lithuanian Jews. Through his father Moshe, a former rabbinical student and anti-Zionist, he was descended from a distinguished rabbinical dynasty. In late 1919, Moshe and his wife Marutha (née Sher) became American citizens, and changed the family name from Mnuchin to Menuhin. Menuhin's sisters were concert pianist and human rights activist Hephzibah, and pianist, painter and poet Yaltah.","Kypsie is a high energy, playful girl who loves to run and rough house with the other dogs. She really likes being with people and is enthusiastic about going for walks/runs and ending up with some petting and cuddles. She was born in June of 2016 and weighs about 40 pounds. She gets along well with other dogs and enjoys having canine buddies."
musician,Jacques Brel,"Jacques Romain Georges Brel (French: , About this soundlisten (help·info); 8 April 1929 – 9 October 1978) was a Belgian singer, songwriter, actor and director who composed and performed literate, thoughtful, and theatrical songs that generated a large, devoted following—initially in Belgium and France, later throughout the world. He is considered a master of the modern chanson.  In January 1953, Brel performed at the cabaret La Rose Noire in Brussels. In February he signed a contract with Philips Records and recorded his first 78 rpm record, ""Il Y A"", which was released in March. The talent scout and artistic director at the record company, Jacques Canetti, invited him to move to Paris. Despite his family's objections and the added pressure of raising a second daughter, France, born on 12 July, he left Brussels for Paris in the autumn of 1953. In Paris Brel worked hard to get his career off the ground. He stayed at the Hotel Stevens and gave guitar lessons to artist-dancer Francesco Frediani to pay his rent. He found work on the cabaret circuit at venues such as L'Écluse, L'Échelle de Jacob, and in Jacques Canetti's cabaret Les Trois Baudets.",Darla is a beautiful 2-year-old female Border Collie/Husky mix. Darla is super sweet and aims to please. She absolutely adores everyone she meets – big or small and would be a great family dog. She loves walks and does great on a leash. She is house and crate trained. Darla loves to eat. She gets along well with other dogs and is curious about cats. Darla would make the perfect hiking buddy as she loves to explore. She knows the sit command; she is very smart and it wont take long to teach her other commands. She does have herding and hunting traits of a Collie and Husky – and if given the opportunity she will chase small outdoor animals. She weighs 55 pounds and is full grown. 
physicist,Albert Einstein,"Albert Einstein (14 March 1879 – 18 April 1955) was a German-born theoretical physicist, widely acknowledged to be one of the greatest physicists of all time. Einstein is known widely for developing the theory of relativity, but he also made important contributions to the development of the theory of quantum mechanics. Relativity and quantum mechanics are together the two pillars of modern physics.  His mass–energy equivalence formula E = mc2, which arises from relativity theory, has been dubbed ""the world's most famous equation"". His work is also known for its influence on the philosophy of science. He received the 1921 Nobel Prize in Physics ""for his services to theoretical physics, and especially for his discovery of the law of the photoelectric effect"", a pivotal step in the development of quantum theory. Einstein joined the National Association for the Advancement of Colored People (NAACP) in Princeton, where he campaigned for the civil rights of African Americans. He considered racism America's ""worst disease"", seeing it as ""handed down from one generation to the next"". As part of his involvement, he corresponded with civil rights activist W. E. B. Du Bois and was prepared to testify on his behalf during his trial in 1951. When Einstein offered to be a character witness for Du Bois, the judge decided to drop the case.","Shasta's favorite activities are tug-of-war, wrestling, and playing chase (alternating chaser). She also enjoys baking in the sun. She also loves other dogs and she feels comfortable with smaller/younger dogs. She will whine and wag her tail until the other dog engages in play. She is cautious around larger dogs, almost not knowing how to act, but any dog she has encountered on walks, she will wag her tail. She might even enjoy the company of a feline if she has a supervised situation. "
physicist,Marie Curie,"Marie Skłodowska Curie (7 November 1867 – 4 July 1934), was a Polish and naturalized-French physicist and chemist who conducted pioneering research on radioactivity. As the first of the Curie family legacy of five Nobel Prizes, she was the first woman to win a Nobel Prize, the first and the only woman to win the Nobel Prize twice, and the only person to win the Nobel Prize in two scientific fields. She was the first woman to become a professor at the University of Paris in 1906. Under her direction, the world's first studies were conducted into the treatment of neoplasms by the use of radioactive isotopes. In 1920 she founded the Curie Institute in Paris, and in 1932 the Curie Institute in Warsaw; both remain major centres of medical research. During World War I she developed mobile radiography units to provide X-ray services to field hospitals. While a French citizen, Marie Skłodowska Curie, who used both surnames, never lost her sense of Polish identity. She taught her daughters the Polish language and took them on visits to Poland. She named the first chemical element she discovered polonium, after her native country.","Brigsby is a smart boy and eager to learn! Hes sweet as can be, gentle and quiet, and is always sticking his tongue out. Its super cute! Once he gets to know you, he wont leave your side. Brigs is great with other people and dogs. He loves pets, cuddles, and going on walks! He is still working on basic commands but hes making excellent progress."
physicist,Jocelyn Bell Burnell,"Dame Susan Jocelyn Bell Burnell DBE FRS FRSE FRAS FInstP (/bɜːrˈnɛl/; born 15 July 1943) is an astrophysicist from Northern Ireland who, as a postgraduate student, discovered the first radio pulsars in 1967. The discovery was recognised by the award of the 1974 Nobel Prize in Physics but, despite being the first person to discover the pulsars, she was not one of the recipients of the prize. The paper announcing the discovery of pulsars had five authors. Bell's thesis supervisor Antony Hewish was listed first, Bell second. Hewish was awarded the Nobel Prize, along with the astronomer Martin Ryle. Many prominent astronomers criticised Bell's omission, including Sir Fred Hoyle. In 1977, Bell Burnell played down this controversy, saying, ""I believe it would demean Nobel Prizes if they were awarded to research students, except in very exceptional cases, and I do not believe this is one of them."" The Royal Swedish Academy of Sciences, in its press release announcing the 1974 Nobel Prize in Physics, cited Ryle and Hewish for their pioneering work in radio-astrophysics, with particular mention of Ryle's work on aperture-synthesis technique, and Hewish's decisive role in the discovery of pulsars.",Ace is a sweet guy who enjoys your attention and cuddles. He walks fairly well on leash and enjoys exploring with his person. Ace weighs ~30 lbs.
physicist,Donna Strickland,"Donna Theo Strickland, FRS CC (born 27 May 1959) is a Canadian optical physicist and pioneer in the field of pulsed lasers. She was awarded the Nobel Prize in Physics in 2018, together with Gérard Mourou, for the practical implementation of chirped pulse amplification. She is a professor at the University of Waterloo in Ontario, Canada. From 1988 to 1991, Strickland was a research associate at the National Research Council of Canada, where she worked with Paul Corkum in the Ultrafast Phenomena Section, which had the distinction at that time of having produced the most powerful short-pulse laser in the world. She served as fellow, vice president, and president of The Optical Society, and is currently chair of their Presidential Advisory Committee. In 2018, she was listed as one of BBC's 100 Women.","Mimibelle is a sweet, loving girl. She's a special girl. Mimibelle has Alopecia and hyperpigmented thickened pendulous skin on the sternum. She has ear medications to prevent ear infections as well as medicated shampoo to prevent itching. Mimibelle is on a strict diet as well. Although Mimibelle has medical ongoing, she's a loving, loyal, sweet girl. She's great with dogs and people. She's a bit shy at first but warms up pretty quick"
physicist,Lise Meitner,"Lise Meitner (7 November 1878 – 27 October 1968) was an Austrian-Swedish physicist who contributed to the discoveries of the element protactinium and nuclear fission. While working at the Kaiser Wilhelm Institute on radioactivity, she discovered the radioactive isotope protactinium-231 in 1917. In 1938, Meitner and nephew-physicist Otto Robert Frisch discovered nuclear fission. She was praised by Albert Einstein as the ""German Marie Curie"". Completing her doctoral research in 1905, Meitner became the first woman from the University of Vienna and second in the world to earn a doctorate in physics. She spent most of her scientific career in Berlin, Germany, where she was a physics professor and a department head at the Kaiser Wilhelm Institute; she was the first woman to become a full professor of physics in Germany. She lost these positions in the 1930s because of the anti-Jewish Nuremberg Laws of Nazi Germany, and in 1938 she fled to Sweden, where she lived for many years, ultimately becoming a Swedish citizen. In mid-1938, Meitner with chemists Otto Hahn and Fritz Strassmann at the Kaiser Wilhelm Institute found that bombarding thorium with neutrons produced different isotopes. ","Bandit is a 9 years, 5 months-old male Pit Bull Terrier. How can you resist that face? You'd never believe Bandit is 8 years old, because he sure doesn't act like it. He is learning to love his food puzzles and enjoys training. He knows ""sit"" and his big pointy ears don't miss a thing.  He's a fun dog as long as you understand that when he gets anxious, you need to slow down so he can process what's going on. Then he returns to his loving self.Bandit shows interest in other dogs while out on a walk but gets anxious when he gets too close."
physicist,Vera Rubin,"Vera Florence Cooper Rubin (July 23, 1928 – December 25, 2016) was an American astronomer who pioneered work on galaxy rotation rates. She uncovered the discrepancy between the predicted angular motion of galaxies and the observed motion, by studying galactic rotation curves. This phenomenon became known as the galaxy rotation problem, and was evidence of the existence of dark matter. Although initially met with skepticism, Rubin's results were confirmed over subsequent decades. Her legacy was described by The New York Times as ""ushering in a Copernican-scale change"" in cosmological theory. Beginning her academic career as the sole undergraduate in astronomy at Vassar College, Rubin went on to graduate studies at Cornell University and Georgetown University, where she observed deviations from Hubble flow in galaxies and provided evidence for the existence of galactic superclusters. Her data provided some of the first evidence for dark matter, which had been theorized by Fritz Zwicky in the 1930s. She was honored throughout her career for her achievements, and received the Bruce Medal, the Gold Medal of the Royal Astronomical Society, and the National Medal of Science, among others. Rubin spent her life advocating for women in science and was known for her mentorship of aspiring female astronomers. She is the first woman to have a large observatory named after her: the National Science Foundation Vera C. Rubin Observatory (Rubin Observatory) in Chile.","Bosco is a 10 months-old male Mastiff (or mix). He just takes a few minutes to get used to new people, new environments, etc. He may bark or growl initially when he meets someone new but he is getting better with that already. Bosco seems to really light up and relax around other dogs. He does play bows and bounces around (he really has no idea how big he is!) and is super happy to see 4 legged friends. Bosco walks pretty well on a leash for a dog his size and has really started to enjoy the long hikes around the farm. He appears nicely housetrained as well, preferring to go outside to potty."
