class,name,profile description
artist,Pablo Picasso,"Pablo Ruiz Picasso (25 October 1881 – 8 April 1973) was a Spanish painter, sculptor, printmaker, ceramicist and theatre designer who spent most of his adult life in France. Regarded as one of the most influential artists of the 20th century, he is known for co-founding the Cubist movement, the invention of constructed sculpture, the co-invention of collage, and for the wide variety of styles that he helped develop and explore. Among his most famous works are the proto-Cubist Les Demoiselles d'Avignon (1907), and Guernica (1937), a dramatic portrayal of the bombing of Guernica by German and Italian air forces during the Spanish Civil War. Picasso demonstrated extraordinary artistic talent in his early years, painting in a naturalistic manner through his childhood and adolescence. During the first decade of the 20th century, his style changed as he experimented with different theories, techniques, and ideas. After 1906, the Fauvist work of the slightly older artist Henri Matisse motivated Picasso to explore more radical styles, beginning a fruitful rivalry between the two artists, who subsequently were often paired by critics as the leaders of modern art."
artist,Nadir Afonso,"Nadir Afonso, (4 December 1920 – 11 December 2013) was a Portuguese geometric abstractionist painter. Formally trained in architecture, which he practiced early in his career with Le Corbusier and Oscar Niemeyer, Nadir Afonso later studied painting in Paris and became one of the pioneers of Kinetic art, working alongside Victor Vasarely, Fernand Léger, Auguste Herbin, and André Bloc. As a theorist of his own geometry-based aesthetics, published in several books, Nadir Afonso defended the idea that art is purely objective and ruled by laws that treat art not as an act of imagination but of observation, perception, and form manipulation. Nadir Afonso achieved international recognition early in his career and many of his works are in museums. "
artist,Theo Constanté,"Theo Constanté Parra (May 11, 1934 in Guayaquil, Ecuador – April 27, 2014) was a master Latin American painter part of the Abstract Informalist Movement in Ecuador. In 2005, Constanté won the country's most prestigious award for art, literature and culture, the Premio Eugenio Espejo National Award, presented by the President of Ecuador. Constanté's works are abstract in nature and consist of many colors which meld together amongst loosely drawn geometric lines. Constanté stated that his favorite colors were red, orange and blue and they are the colors that are typically more dominant in his work. Constanté studied and later taught at the School of Fine Arts in Guayaquil and in the Academy of San Fernando of Madrid. In 1963, Constanté's works were represented at the Museum of Modern Art in Paris for the Third Biennial of Paris together with fellow Ecuadorian painters Enrique Tábara and Humberto Moré. The work of Constanté can be found in galleries, museums and collections throughout Guayaquil, Quito, Lima, Cali, São Paulo, Miami, New York, Paris and Madrid."
artist,Sonia Delaunay,"Sonia Delaunay (14 November 1885 – 5 December 1979) was a French artist, who spent most of her working life in Paris. She formally trained in Russia and Germany before moving to France and expanding her practice to include textile, fashion, and set design. She co-founded the Orphism art movement, noted for its use of strong colours and geometric shapes, with her husband Robert Delaunay and others. She was the first living female artist to have a retrospective exhibition at the Louvre in 1964, and in 1975 was named an officer of the French Legion of Honor. Her work in modern design included the concepts of geometric abstraction, and the integration of furniture, fabrics, wall coverings, and clothing into her art practice."
artist,Nina Genke-Meller,"Nina Genke was born in Moscow in 1893 to a Dutch father, Genrikh Genke, and a Russian mother, Nadezhda Tikhanova. She married the artist Vadym Meller (1884-1962). Nina Genke-Meller died in Kiev in 1954. Shortly after the October Revolution of 1917, Nina Genke participated in decorating the streets of Kiev and Odessa for Revolution Festivities together with Aleksandra Ekster and Kliment Red'ko, and began to design grandiose shows and a book on graphic design. Genke was a chief artist of the Golfstream futuristic publishing house led by Ukrainian poet-Futurist, Mykhail Semenko. At the same time she worked as a graphic artist. In 1923 she "" illustrated the Panfuturists' October Collection, established a symbiosis between poster and poetry"". From 1920-1924 she taught art in the All-Ukrainian State Center Studio. In 1924 moved to Moscow, working as a stage designer, designer for china ( mostly plates) and wallpaper manufacture. Genke also held a position of the Deputy Head of the Board on Fine Arts in Vserabis. In later life, Genke worked as an interior designer, a scenographer, and supervisor of decorative and applied arts institutions."
artist,James Stokoe,"James Stokoe (born September 4, 1985) is a Canadian comic book artist who is known for his work on such titles as Wonton Soup, Orc Stain and Godzilla: The Half-Century War. Along with Corey Lewis, Brandon Graham and Marley Zarcone, he's a part of a studio/collective called ""Yosh Comics"". Fishing guide and tv presenter from Northumberland in the UK. Winner of BBC's earth's wildest waters - The big fish "
artist,Alan Moore,"Alan Moore (born 18 November 1953) is an English writer known primarily for his work in comic books including Watchmen, V for Vendetta, The Ballad of Halo Jones, Swamp Thing, Batman: The Killing Joke and From Hell. Regarded by some as the best comics writer in the English language, he is widely recognized among his peers and critics. He has occasionally used such pseudonyms as Curt Vile, Jill de Ray, and Translucia Baboon; also, reprints of some of his work have been credited to The Original Writer when Moore requested that his name be removed. In 1993, on his fortieth birthday, Moore openly declared his dedication to being a ceremonial magician, something he saw as ""a logical end step to my career as a writer"". According to a 2001 interview, his inspiration for doing this came when he was writing From Hell in the early 1990s, a book containing much Freemasonic and occult symbolism: ""One word balloon in From Hell completely hijacked my life ... A character says something like, 'The one place gods inarguably exist is in the human mind'. "
artist,Ernst Haeckel,"Ernst Heinrich Philipp August Haeckel (16 February 1834 – 9 August 1919) was a German zoologist, naturalist, eugenicist, philosopher, physician, professor, marine biologist, and artist who discovered, described and named thousands of new species, mapped a genealogical tree relating all life forms, and coined many terms in biology, including ecology, phylum, phylogeny, and Protista. Haeckel promoted and popularised Charles Darwin's work in Germany and developed the influential but no longer widely held recapitulation theory (""ontogeny recapitulates phylogeny"") claiming that an individual organism's biological development, or ontogeny, parallels and summarises its species' evolutionary development, or phylogeny. Haeckel's aim was a reformed morphology with evolution as the organising principle of a cosmic synthesis unifying science, religion, and art. He was giving successful ""popular lectures"" on his ideas to students and townspeople in Jena, in an approach pioneered by his teacher Rudolf Virchow."
artist,Claude Monet,"Oscar-Claude Monet (UK: /ˈmɒneɪ/, US: /moʊˈneɪ/, French: ; 14 November 1840 – 5 December 1926) was a French painter, a founder of French Impressionist painting and the most consistent and prolific practitioner of the movement's philosophy of expressing one's perceptions before nature, especially as applied to plein air landscape painting. The term ""Impressionism"" is derived from the title of his painting Impression, soleil levant (Impression, Sunrise), which was exhibited in 1874 in the first Salon des Refusés (exhibition of rejects) mounted by Monet and his associates as an alternative to the Salon de Paris. Monet's ambition of documenting the French countryside led him to adopt a method of painting the same scene many times in order to capture the changing of light and the passing of the seasons. From 1883, Monet lived in Giverny, where he purchased a house and property and began a vast landscaping project which included lily ponds that would become the subjects of his best-known works. He began painting the water lilies in 1899, first in vertical views with a Japanese bridge as a central feature, and later in the series of large-scale paintings that occupied him continuously for the next 20 years of his life."
artist,Salvador Dalí,"Salvador Domingo Felipe Jacinto Dalí i Domènech, 1st Marquess of Dalí de Púbol (11 May 1904 – 23 January 1989) was a Spanish surrealist artist renowned for his technical skill, precise draftsmanship and the striking and bizarre images in his work. Born in Figueres, Catalonia, Dalí received his formal education in fine arts in Madrid. Influenced by Impressionism and the Renaissance masters from a young age, he became increasingly attracted to Cubism and avant-garde movements. He moved closer to Surrealism in the late 1920s and joined the Surrealist group in 1929, soon becoming one of its leading exponents. His best-known work, The Persistence of Memory, was completed in August 1931, and is one of the most famous Surrealist paintings. Dalí lived in France throughout the Spanish Civil War (1936 to 1939) before leaving for the United States in 1940 where he achieved commercial success. He returned to Spain in 1948 where he announced his return to the Catholic faith and developed his ""nuclear mysticism"" style, based on his interest in classicism, mysticism and recent scientific developments."
artist,Jean-Michel Basquiat,"Jean-Michel Basquiat (December 22, 1960 – August 12, 1988) was an American artist. Basquiat first achieved fame as part of SAMO, a graffiti duo who wrote enigmatic epigrams in the cultural hotbed of the Lower East Side of Manhattan during the late 1970s, where rap, punk, and street art coalesced into early hip-hop music culture. By the early 1980s, his neo-expressionist paintings were being exhibited in galleries and museums internationally. At 21, Basquiat became the youngest artist to ever take part in documenta in Kassel. At 22, he was the youngest to exhibit at the Whitney Biennial in New York. The Whitney Museum of American Art held a retrospective of his art in 1992. Basquiat's art focused on dichotomies such as wealth versus poverty, integration versus segregation, and inner versus outer experience. He appropriated poetry, drawing, and painting, and married text and image, abstraction, figuration, and historical information mixed with contemporary critique. Basquiat used social commentary in his paintings as a tool for introspection and for identifying with his experiences in the black community of his time, as well as attacks on power structures and systems of racism. Basquiat's visual poetics were acutely political and direct in their criticism of colonialism and support for class struggle."
artist,Egon Schiele,"Egon Schiele (12 June 1890 – 31 October 1918) was an Austrian painter. A protégé of Gustav Klimt, Schiele was a major figurative painter of the early 20th century. His work is noted for its intensity and its raw sexuality, and the many self-portraits the artist produced, including nude self-portraits. The twisted body shapes and the expressive line that characterize Schiele's paintings and drawings mark the artist as an early exponent of Expressionism. Schiele was born in 1890 in Tulln, Lower Austria. His father, Adolf Schiele, the station master of the Tulln station in the Austrian State Railways, was born in 1851 in Vienna to Karl Ludwig Schiele, a German from Ballenstedt and Aloisia Schimak; Egon Schiele's mother Marie, née Soukup, was born in 1861 in Český Krumlov (Krumau) to Johann Franz Soukup, a Czech father from Mirkovice, and Aloisia Poferl, a German Bohemian mother from Český Krumlov. As a child, Schiele was fascinated by trains, and would spend many hours drawing them, to the point where his father felt obliged to destroy his sketchbooks. When he was 11 years old, Schiele moved to the nearby city of Krems (and later to Klosterneuburg) to attend secondary school. To those around him, Schiele was regarded as a strange child. Shy and reserved, he did poorly at school except in athletics and drawing, and was usually in classes made up of younger pupils."
artist,Aaron Douglas,"Aaron Douglas (May 26, 1899 – February 2, 1979) was an American painter, illustrator and visual arts educator. He was a major figure in the Harlem Renaissance. He developed his art career painting murals and creating illustrations that addressed social issues around race and segregation in the United States by utilizing African-centric imagery. Douglas set the stage for young, African-American artists to enter public arts realm through his involvement with the Harlem Artists Guild. In 1944, he concluded his art career by founding the Art Department at Fisk University in Nashville, Tennessee. He taught visual art classes at Fisk until his retirement in 1966. Douglas is known as a prominent leader in modern African-American art whose work influenced artists for years to come."
artist,Augusta Savage,"Augusta Savage (February 29, 1892 – March 27, 1962) was an American sculptor associated with the Harlem Renaissance. She was also a teacher whose studio was important to the careers of a generation of artists who would become nationally known. She worked for equal rights for African Americans in the arts. Savage continued to model clay, and in 1919 was granted a booth at the Palm Beach County Fair where she was awarded a $25 prize and ribbon for most original exhibit. Following this success, she sought commissions for work in Jacksonville, Florida, before departing for New York City in 1921. She arrived with a letter of recommendation from the Palm Beach County Fair official George Graham Currie for sculptor Solon Borglum and $4.60. When Borglum discovered that she could not afford tuition at the School of American Sculpture, he encouraged her to apply to Cooper Union, a scholarship-based school, in New York City where she was admitted in October 1921."
artist,Lois Mailou Jones,"Loïs Mailou Jones (November 3, 1905 – June 9, 1998) was an influential artist and teacher during her seven-decade career. Jones was one of the most notable figures to attain fame for her art while living as a black expatriate in Paris during the 1930s and 1940s. Her career began in textile design before she decided to focus on fine arts. Jones looked towards Africa and the Caribbean and her experiences in life when painting. As a result, her subjects were some of the first paintings by an African-American artist to extend beyond the realm of portraiture. Jones was influenced by the Harlem Renaissance movement and her countless international trips. Lois Mailou Jones' career was enduring and complex. Her work in designs, paintings, illustrations, and academia made her an exceptional artist who continues to receive national attention and research."
writer,Alastair Reynolds,"Alastair Preston Reynolds (born 13 March 1966) is a British science fiction author. He specialises in hard science fiction and space opera. He spent his early years in Cornwall, moved back to Wales before going to Newcastle University, where he read physics and astronomy. Afterwards, he earned a PhD in astrophysics from the University of St Andrews. In 1991, he moved to Noordwijk in the Netherlands where he met his wife Josette (who is from France). There, he worked for the European Space Research and Technology Centre (part of the European Space Agency) until 2004 when he left to pursue writing full-time. He returned to Wales in 2008 and lives near Cardiff. Reynolds wrote his first four published science fiction short stories while still a graduate student, in 1989–1991; they appeared in 1990–1992, his first sale being to Interzone. In 1991 Reynolds graduated and moved from Scotland to the Netherlands to work at ESA. He then started spending much of his writing time on a first novel, which eventually turned into Revelation Space, while the few short stories he submitted from 1991–1995 were rejected. This ended in 1995 when his story ""Byrd Land Six"" was published, which he says marked the beginning of a more serious phase of writing."
writer,Umberto Eco,"Umberto Eco (5 January 1932 – 19 February 2016) was an Italian medievalist, philosopher, semiotician, cultural critic, political and social commentator, and novelist. In English, he is best known for his popular 1980 novel The Name of the Rose, a historical mystery combining semiotics in fiction with biblical analysis, medieval studies, and literary theory, and Foucault's Pendulum, his 1988 novel which touches on similar themes. Eco wrote prolifically throughout his life, with his output including children's books, translations from French and English, and a twice-monthly newspaper column “La Bustina di Minerva” (Minerva’s Matchbook) in the magazine L'Espresso beginning in 1985, with his last column (a critical appraisal of the Romantic paintings of Francesco Hayez) appearing 27 January 2016. At the time of his death, he was an emeritus professor at the University of Bologna, where he taught for much of his life."
writer,Ursula K. Le Guin,"Ursula Kroeber Le Guin (October 21, 1929 – January 22, 2018) was an American author best known for her works of speculative fiction, including science fiction works set in her Hainish universe, and the Earthsea fantasy series. She was first published in 1959, and her literary career spanned nearly sixty years, yielding more than twenty novels and over a hundred short stories, in addition to poetry, literary criticism, translations, and children's books. Frequently described as an author of science fiction, Le Guin has also been called a ""major voice in American Letters"". Le Guin herself said she would prefer to be known as an ""American novelist"". Le Guin was born in Berkeley, California, to author Theodora Kroeber and anthropologist Alfred Louis Kroeber. Having earned a master's degree in French, Le Guin began doctoral studies but abandoned these after her marriage in 1953 to historian Charles Le Guin. She began writing full-time in the late 1950s and achieved major critical and commercial success with A Wizard of Earthsea (1968) and The Left Hand of Darkness (1969), which have been described by Harold Bloom as her masterpieces."
writer,Octavia E. Butler,"Octavia Estelle Butler (June 22, 1947 – February 24, 2006) was an American science fiction author. A multiple recipient of both the Hugo and Nebula awards, she became in 1995 the first science-fiction writer to receive a MacArthur Fellowship. Butler's rise to prominence began in 1984 when ""Speech Sounds"" won the Hugo Award for Short Story and, a year later, Bloodchild won the Hugo Award, the Locus Award, and the Science Fiction Chronicle Reader Award for Best Novelette. In the meantime, Butler traveled to the Amazon rainforest and the Andes to do research for what would become the Xenogenesis trilogy: Dawn (1987), Adulthood Rites (1988), and Imago (1989). These stories were republished in 2000 as the collection Lilith's Brood."
writer,"Mahmoud Darwish","Mahmoud Darwish (13 March 1941 – 9 August 2008) was a Palestinian poet and author who was regarded as the Palestinian national poet. He won numerous awards for his works. Darwish used Palestine as a metaphor for the loss of Eden, birth and resurrection, and the anguish of dispossession and exile. He has been described as incarnating and reflecting ""the tradition of the political poet in Islam, the man of action whose action is poetry."" He also served as an editor for several literary magazines in Palestine. Darwish's early writings are in the classical Arabic style. He wrote monorhymed poems adhering to the metrics of traditional Arabic poetry. In the 1970s he began to stray from these precepts and adopted a ""free-verse"" technique that did not abide strictly by classical poetic norms. The quasi-Romantic diction of his early works gave way to a more personal, flexible language, and the slogans and declarative language that characterized his early poetry were replaced by indirect and ostensibly apolitical statements, although politics was never far away."
writer,Philip Pullman,"Sir Philip Pullman, (born 19 October 1946) is an English author of high-selling books, including the fantasy trilogy His Dark Materials and a fictionalised biography of Jesus, The Good Man Jesus and the Scoundrel Christ. In 2008, The Times named Pullman one of the ""50 greatest British writers since 1945"". In a 2004 BBC poll, he was named the eleventh most influential person in British culture. He was knighted in the 2019 New Year Honours for services to literature. Pullman has found support from some Christians, most notably Rowan Williams, the former Archbishop of Canterbury, who argued that Pullman's attacks focus on the constraints and dangers of dogmatism and the use of religion to oppress, not on Christianity itself. Williams recommended His Dark Materials for discussion in Religious Education classes, and said that ""to see large school-parties in the audience of the Pullman plays at the National Theatre is vastly encouraging"". Pullman and Williams took part in a National Theatre platform debate a few days later to discuss myth, religious experience and its representation in the arts."
writer,Virginia Woolf,"Adeline Virginia Woolf (25 January 1882 – 28 March 1941) was an English writer, considered one of the most important modernist 20th-century authors and also a pioneer in the use of stream of consciousness as a narrative device. Woolf became one of the central subjects of the 1970s movement of feminist criticism and her works have since garnered much attention and widespread commentary for ""inspiring feminism"". Her works have been translated into more than 50 languages. A large body of literature is dedicated to her life and work, and she has been the subject of plays, novels, and films. Woolf is commemorated today by statues, societies dedicated to her work and a building at the University of London."
writer,Jane Austen,"Jane Austen (16 December 1775 – 18 July 1817) was an English novelist known primarily for her six major novels, which interpret, critique and comment upon the British landed gentry at the end of the 18th century. Austen's plots often explore the dependence of women on marriage in the pursuit of favourable social standing and economic security. Her works critique the novels of sensibility of the second half of the 18th century and are part of the transition to 19th-century literary realism. Her use of biting irony, along with her realism, humour, and social commentary, have long earned her acclaim among critics, scholars, and popular audiences alike. A significant transition in her posthumous reputation occurred in 1833, when her novels were republished in Richard Bentley's Standard Novels series, illustrated by Ferdinand Pickering, and sold as a set. They gradually gained wider acclaim and popular readership. In 1869, fifty-two years after her death, her nephew's publication of A Memoir of Jane Austen introduced a compelling version of her writing career and supposedly uneventful life to an eager audience."
writer,George Orwell,"Eric Arthur Blair (25 June 1903 – 21 January 1950), known by his pen name George Orwell, was an English novelist, essayist, journalist and critic. His work is characterised by lucid prose, biting social criticism, opposition to totalitarianism, and outspoken support of democratic socialism. Orwell's work remains influential in popular culture and in political culture, and the adjective ""Orwellian""—describing totalitarian and authoritarian social practices—is part of the English language, like many of his neologisms, such as ""Big Brother"", ""Thought Police"", ""Two Minutes Hate"", ""Room 101"", ""memory hole"", ""Newspeak"", ""doublethink"", ""proles"", ""unperson"", and ""thoughtcrime""."
writer,Maya Angelou,"Maya Angelou (April 4, 1928 – May 28, 2014) was an American poet, memoirist, and civil rights activist. She published seven autobiographies, three books of essays, several books of poetry, and is credited with a list of plays, movies, and television shows spanning over 50 years. She received dozens of awards and more than 50 honorary degrees. Angelou is best known for her series of seven autobiographies, which focus on her childhood and early adult experiences. The first, I Know Why the Caged Bird Sings (1969), tells of her life up to the age of 17 and brought her international recognition and acclaim. She became a poet and writer after a string of odd jobs during her young adulthood. These included fry cook, sex worker, nightclub performer, Porgy and Bess cast member, Southern Christian Leadership Conference coordinator, and correspondent in Egypt and Ghana during the decolonization of Africa. She was also an actress, writer, director, and producer of plays, movies, and public television programs."
writer,Neil Gaiman,"Neil Richard MacKinnon Gaiman (10 November 1960) is an English author of short fiction, novels, comic books, graphic novels, nonfiction, audio theatre, and films. His works include the comic book series The Sandman and novels Stardust, American Gods, Coraline, and The Graveyard Book. He has won numerous awards, including the Hugo, Nebula, and Bram Stoker awards, as well as the Newbery and Carnegie medals. He is the first author to win both the Newbery and the Carnegie medals for the same work, The Graveyard Book (2008). In 2013, The Ocean at the End of the Lane was voted Book of the Year in the British National Book Awards. Gaiman's work is known for a high degree of allusiveness. Dr. Meredith Collins, for instance, has commented upon the degree to which his novel Stardust depends on allusions to Victorian fairy tales and culture. Particularly in The Sandman, literary figures and characters appear often; the character of Fiddler's Green is modelled visually on G. K. Chesterton, both William Shakespeare and Geoffrey Chaucer appear as characters, as do several characters from within A Midsummer Night's Dream and The Tempest. The comic also draws from numerous mythologies and historical periods."
writer,Haruki Murakami,"Haruki Murakami (born January 12, 1949) is a Japanese writer. His books and stories have been bestsellers in Japan as well as internationally, with his work being translated into 50 languages and selling millions of copies outside his native country. His work has received numerous awards, including the World Fantasy Award, the Frank O'Connor International Short Story Award, the Franz Kafka Prize, and the Jerusalem Prize. Despite one of his books, 1Q84, being ranked in Japan as the best work of fiction published in Japan's Heisei era (1989–2019), his fiction is sometimes criticised by Japan's literary establishment as un-Japanese. Murakami is influenced by western writers from Chandler to Vonnegut by way of Brautigan. Murakami's fiction is frequently surrealistic and melancholic or fatalistic, marked by a Kafkaesque rendition of the ""recurrent themes of alienation and loneliness"" he weaves into his narratives. Steven Poole of The Guardian praised Murakami as ""among the world's greatest living novelists"" for his works and achievements."
writer,Kurt Vonnegut,"Kurt Vonnegut Jr. (/ˈvɒnəɡət/; November 11, 1922 – April 11, 2007) was an American writer. In a career spanning over 50 years, he published 14 novels, three short story collections, five plays, and five nonfiction works, with further collections being published after his death. In the introduction to Slaughterhouse-Five Vonnegut recounts meeting the film producer Harrison Starr at a party who asked him whether his forthcoming book was an anti-war novel—""I guess,"" replied Vonnegut. Starr responded ""Why don't you write an anti-glacier novel?"" This underlined Vonnegut's belief that wars were, unfortunately, inevitable, but that it was important to ensure the wars one fought were just wars."
writer,Richard Brautigan,"Richard Gary Brautigan (January 30, 1935 – ca. September 16, 1984) was an American novelist, poet, and short story writer. His work often clinically and surrealistically employs black comedy, parody, and satire, with emotionally blunt prose describing pastoral American life intertwining with technological progress. He is best known for his novels Trout Fishing in America (1967) and In Watermelon Sugar (1968). Brautigan began his career as a poet, with his first collection being published in 1957. He made his debut as a novelist with A Confederate General from Big Sur (1964), about a seemingly delusional man who believes himself to be the descendant of a Confederate general from Big Sur. Brautigan would go on to publish numerous prose and poetry collections until 1982. He died by suicide in 1984."
